district_ru,osm_query
Адмиралтейский,"Admiralteysky District, Saint Petersburg, Russia"
Василеостровский,"Vasileostrovsky District, Saint Petersburg, Russia"
Выборгский,"Vyborgsky District, Saint Petersburg, Russia"
Калининский,"Kalininsky District, Saint Petersburg, Russia"
Кировский,"Kirovsky District, Saint Petersburg, Russia"
Колпинский,"Kolpinsky District, Saint Petersburg, Russia"
Красногвардейский,"Krasnogvardeysky District, Saint Petersburg, Russia"
Красносельский,"Krasnoselsky District, Saint Petersburg, Russia"
Кронштадтский,"Kronshtadtsky District, Saint Petersburg, Russia"
Курортный,"Kurortny District, Saint Petersburg, Russia"
Московский,"Moskovsky District, Saint Petersburg, Russia"
Невский,"Nevsky District, Saint Petersburg, Russia"
Петроградский,"Petrogradsky District, Saint Petersburg, Russia"
Петродворцовый,"Petrodvortsovy District, Saint Petersburg, Russia"
Приморский,"Primorsky District, Saint Petersburg, Russia"
Пушкинский,"Pushkinsky District, Saint Petersburg, Russia"
Фрунзенский,"Frunzensky District, Saint Petersburg, Russia"
Центральный,"Tsentralny District, Saint Petersburg, Russia"
